State Name,In Person Registration Deadline,Postmarked Mail Registration Deadline,Online Registration,Link to Registration,Link to Check Polling Place
Alabama,19/Oct,19/Oct,19/Oct,https://www.vote.org/register-to-vote/,https://myinfo.alabamavotes.gov/VoterView/PollingPlaceSearch.do
Alaska,04/Oct,03/Oct,04/10/20,https://www.vote.org/register-to-vote/,https://myvoterinformation.alaska.gov/
Arizona,05/10/20,05/10/20,05/10/20,https://www.vote.org/register-to-vote/,https://my.arizona.vote/PortalList.aspx
Arkansas,04/10/20,05/10/20,N/A,https://www.vote.org/register-to-vote/,https://www.voterview.ar-nova.org/voterview
California,19/10/20,19/10/20,19/10/20,https://www.vote.org/register-to-vote/,https://www.sos.ca.gov/elections/polling-place/
Colorado,03/11/20,26/10/20,26/10/20,https://www.vote.org/register-to-vote/,https://www.sos.state.co.us/pubs/elections/Resources/CountyElectionOffices.html
Connecticut,27/10/20,27/10/20,27/10/20,https://www.vote.org/register-to-vote/,https://portaldir.ct.gov/sots/LookUp.aspx
Delaware,14/10/20,14/10/20,10/10/20,https://www.vote.org/register-to-vote/,https://ivote.de.gov/VoterView
Florida,05/10/20,05/10/20,05/10/20,https://www.vote.org/register-to-vote/,https://registration.elections.myflorida.com/CheckVoterStatus
Georgia,05/10/20,05/10/20,05/10/20,https://www.vote.org/register-to-vote/,https://www.mvp.sos.ga.gov/MVP/mvp.do
Hawaii,04/10/20,04/10/20,04/10/20,https://www.vote.org/register-to-vote/,https://olvr.hawaii.gov/altpollingplacesearch.aspx
Idaho,10/10/20,09/10/20,09/10/20,https://www.vote.org/register-to-vote/,https://apps.idahovotes.gov/YourPollingPlace/WhereDoIVote.aspx
Illinois,07/10/20,06/10/20,18/10/20,https://www.vote.org/register-to-vote/,https://ova.elections.il.gov/PollingPlaceLookup.aspx
Indiana,05/10/20,05/10/20,05/10/20,https://www.vote.org/register-to-vote/,https://indianavoters.in.gov/
Iowa,24/10/20,19/10/20,24/10/20,https://www.vote.org/register-to-vote/,https://sos.iowa.gov/elections/voterreg/pollingplace/search.aspx
Kansas,13/10/20,13/10/20,13/10/20,https://www.vote.org/register-to-vote/,https://myvoteinfo.voteks.org/VoterView/PollingPlaceSearch.do
Kentucky,05/10/20,05/10/20,05/10/20,https://www.vote.org/register-to-vote/,https://vrsws.sos.ky.gov/vic/
Louisiana,04/10/20,04/10/20,14/10/20,https://www.vote.org/register-to-vote/,https://voterportal.sos.la.gov/
Maine,03/11/20,05/10/20,N/A,https://www.vote.org/register-to-vote/,https://www1.maine.gov/portal/government/edemocracy/voter_lookup.php
